-5.5919,0.86242,64.847,1.5819,-27.824
-10.785,8.346,112.09,-9.6257,-37.113
-13.107,12.159,116.92,-17.621,39.236
-13.051,10.218,59.409,-19.325,142.77
-14.47,3.1326,-33.841,-15.596,209.43
-19.878,-4.049,-98.041,-12.202,280.03
-24.452,-4.9191,-90.178,-13.217,352
-22.002,2.9322,-24.649,-16.54,337.76
-16.813,16.343,55.898,-19.816,235.35
-19.328,28.346,116.36,-25.286,130.54
-29.809,30.16,131.43,-32.901,40.351
-38.228,16.111,93.927,-36.322,-52.847
-40.204,-9.3433,39.982,-33.371,-85.657
-39.294,-33.462,25.736,-30.844,-9.408
-34.631,-48.076,54.119,-31.407,93.379
-23.115,-57.307,67.061,-28.301,132.4
-13.766,-70.235,29.96,-21.004,133.93
-20.136,-90.543,-30.974,-20.428,137.09
-35.915,-115.62,-90.339,-28.744,134.12
-38.832,-139.37,-149.91,-30.936,188.25
-23.291,-151.83,-182.34,-18.051,378.28
-8.6824,-143.19,-129.11,-3.0921,580.17
-9.8299,-114.53,9.0714,-1.6561,569.62
-18.488,-80.192,143.07,-10.388,346.79
-20.789,-56.332,188.77,-16.195,108.32
-16.378,-49.134,146.59,-15.754,-46.073
-12.252,-53.147,73.393,-14.813,-144.31
-9.6327,-59.379,14.026,-15.078,-167.54
-5.5679,-65.218,-16.45,-12.735,-70.276
-1.8312,-74.097,-7.6242,-9.5311,77.396
-3.7683,-86.98,42.601,-14.628,144.21
-9.209,-100.94,94.579,-28.314,114.78
-6.8368,-114.38,90.607,-33.804,84.081
6.5314,-126.46,29.209,-18.8,84.47
15.079,-133.84,-30.836,2.4817,42.711
4.1984,-133.45,-45.513,5.8112,-66.985
-15.237,-126.49,-21.174,-9.1878,-152.28
-20.554,-117.46,16.545,-20.316,-140.72
-10.386,-111.52,45.922,-16.287,-71.461
-4.1767,-111.61,49.71,-8.2694,8.7913
-10.595,-115.21,29.12,-6.0407,117.31
-17.202,-116.9,6.7608,-4.579,251.89
-14.263,-116.23,-12.142,-0.3982,358.46
-9.3113,-116.5,-51.741,-1.2368,408.68
-9.6399,-114.13,-106.68,-10.265,402.9
-7.0653,-101.32,-123.74,-15.562,319.78
5.2309,-82.017,-81.202,-7.5673,165.7
13.545,-70.246,-18.734,1.3671,23.831
1.9582,-70.068,41.107,-9.1104,-26.446
-18.255,-72.586,117.06,-35.769,11.629
-21.813,-73.978,191.21,-53.634,84.934
-7.6505,-81.453,195.08,-51.43,146.51
2.3903,-98.38,107.51,-42.899,168.03
0.45706,-115.22,0.62928,-39.253,132.66
-0.61904,-121.76,-51.035,-34.86,33.86
2.6091,-121.24,-57.511,-26.236,-103.33
-2.3719,-122.88,-61.677,-21.577,-209.48
-16.19,-125.92,-52.332,-22.828,-222.28
-20.504,-123.68,-1.6917,-18.513,-149.39
-7.4829,-118.23,53.869,-4.7363,-44.118
5.6354,-116.09,56.852,4.1953,64.508
3.7842,-114.01,23.85,-1.1846,174.75
-2.719,-104.39,15.956,-7.7854,260.59
0.36861,-91.945,32.345,-1.5446,280.62
4.4188,-89.728,13.588,8.8169,259.59
-3.2195,-98.397,-47.818,9.8033,287.17
-11.614,-102.83,-79.494,7.9352,375.11
-6.5811,-92.44,-38.579,12.721,399.94
0.065961,-74.246,25.492,14.486,284.05
-8.1518,-61.135,59.85,4.7659,141.08
-21.84,-57.153,75.72,-3.7811,118.82
-25.12,-60.638,70.659,-1.79,192.15
-24.521,-70.931,-9.7474,-2.2883,237.98
-32.631,-82.246,-152.1,-14.843,212.24
-42.155,-82.221,-234.02,-25.243,130.8
-38.78,-68.063,-189.75,-18.306,-13.843
-26.098,-53.285,-100.05,-2.0675,-189.45
-19.929,-48.889,-52.378,4.7348,-265.37
-25.194,-49.508,-36.548,-1.9065,-147.18
-31.453,-45.171,-23.53,-10.168,62.917
-29.417,-35.018,-21.723,-11.62,149.83
-22.486,-24.028,-19.54,-9.4207,41.647
-18.972,-15.788,19.543,-7.3006,-105.83
-18.877,-11.711,79.266,-3.1251,-113.53
-16.093,-10.581,94.869,2.1718,17.938
